station,lat,lon,source_url
Hornsea 1,53.8800,1.6800,https://www.thewindpower.net/windfarm_en_16665_hornsea-project-one-njord.php
Walney Ext,54.0870,-3.7370,https://www.thewindpower.net/windfarm_en_22261_walney-extension.php
Drax,53.7380,-0.9998,https://en.wikipedia.org/wiki/Drax_Power_Station
Dudgeon,53.2489,1.3900,https://en.wikipedia.org/wiki/Dudgeon_Offshore_Wind_Farm
Beatrice,58.2500,-2.8800,https://en.wikipedia.org/wiki/Beatrice_Wind_Farm
EA 1,52.2300,2.4800,https://www.thewindpower.net/windfarm_en_16790_east-anglia-one.php
Lynemouth,55.2044,-1.5216,https://en.wikipedia.org/wiki/Lynemouth_power_station
Burbo Bank Ext,53.4830,-3.2730,https://www.4coffshore.com/windfarms/united-kingdom/burbo-bank-extension-united-kingdom-uk59.html
Teesside,54.5975,-1.1703,https://en.wikipedia.org/wiki/Tees_Renewable_Energy_Plant
NNG,56.2750,-2.2450,https://en.wikipedia.org/wiki/Neart_Na_Gaoithe
Triton Knoll,53.4785,0.8383,https://www.thewindpower.net/windfarm_en_16751_triton-knoll-wind-farm.php
Dorenell,57.4205,-3.0850,https://www.thewindpower.net/windfarm_en_27416_dorenell.php
Hornsea 2,53.9200,1.5600,https://en.wikipedia.org/wiki/Hornsea_Wind_Farm
Kype Muir,55.6323,-4.0481,https://www.thewindpower.net/windfarm_en_27421_kype-muir.php
Clocaenog,53.0722,-3.4880,https://www.thewindpower.net/windfarm_map_en_30186_clocaenog-forest.php
Middle Muir,55.5103,-3.8083,https://www.thewindpower.net/windfarm_en_30187_middle-muir.php
Brenig,53.0942,-3.4890,https://www.thewindpower.net/windfarm_en_25055_llyn-brenig.php
Bad A Cheo,58.4277,-3.4246,https://www.thewindpower.net/windfarm_en_20040_bad-a%E2%80%99cheo.php
Mynydd,52.4500,-3.7378,http://nearby.org.uk/coord.cgi?p=SN82008498
Coire,57.7893,-4.3805,https://www.thewindpower.net/windfarm_en_25192_coire-na-cloiche.php
Moray East,58.1671,-2.6985,https://en.wikipedia.org/wiki/Moray_East_Wind_Farm
Sneddon,55.6544,-4.3412,https://www.thewindpower.net/windfarm_en_30205_sneddon-law.php
Moor House,54.5639,-1.5040,https://www.thewindpower.net/windfarm_en_26268_moor-house.php
Nanclach,57.3918,-3.8965,https://www.thewindpower.net/windfarm_en_25194_tom-nan-clach.php
Achlachan,58.4474,-3.4571,https://www.thewindpower.net/windfarm_en_27409_achlachan-i.php
Drax Power Station,53.7380,-0.9998,https://en.wikipedia.org/wiki/Drax_Power_Station
London Array Offshore Windfarm,51.6270,1.4950,https://en.wikipedia.org/wiki/London_Array
Greater Gabbard,51.9333,1.8833,https://en.wikipedia.org/wiki/Greater_Gabbard_wind_farm
Gwynt y Mor,53.4600,-3.5990,https://en.wikipedia.org/wiki/Gwynt_y_M%C3%B4r
West of Duddon Sands Offshore Wind Farm,53.9800,-3.4600,https://en.wikipedia.org/wiki/West_of_Duddon_Sands_Wind_Farm
Race Bank,53.2750,0.8333,https://en.wikipedia.org/wiki/Race_Bank_wind_farm
Sheringham Shoal,53.1167,1.1333,https://en.wikipedia.org/wiki/Sheringham_Shoal_Offshore_Wind_Farm
Thanet Offshore Wind Farm,51.4306,1.6331,https://en.wikipedia.org/wiki/Thanet_Wind_Farm
Lincs Wind Farm,53.1833,0.4833,https://en.wikipedia.org/wiki/Lincs_Wind_Farm
Galloper Wind Farm,51.9500,2.1000,https://www.thewindpower.net/windfarm_en_16770_galloper.php
Rampion,50.6700,-0.2800,https://en.wikipedia.org/wiki/Rampion_Wind_Farm
Walney Offshore Wind Phase II,54.0807,-3.6090,https://osuked.github.io/Power-Station-Dictionary/objects/10246.html
Westermost Rough,53.8050,0.1490,https://en.wikipedia.org/wiki/Westermost_Rough_Wind_Farm
Walney Offshore Wind Phase I,54.0394,-3.5158,https://osuked.github.io/Power-Station-Dictionary/objects/10246.html
Humber Gateway Offshore Wind Farm,53.6439,0.2931,https://en.wikipedia.org/wiki/Humber_Gateway_Wind_Farm
Ormonde Wind Farm,54.0880,-3.4370,https://www.thewindpower.net/windfarm_en_1629_ormonde.php
Whitelee Windfarm,55.7124,-4.3418,https://en.wikipedia.org/wiki/Whitelee_Wind_Farm
Robin Rigg Offshore Wind Farm (East),54.7500,-3.7200,https://en.wikipedia.org/wiki/Robin_Rigg_Wind_Farm
Inner Dowsing Offshore Wind Farm,53.1566,0.4120,https://en.wikipedia.org/wiki/Lynn_and_Inner_Dowsing_Wind_Farms
Lynn Offshore Wind Farm,53.1566,0.4120,https://en.wikipedia.org/wiki/Lynn_and_Inner_Dowsing_Wind_Farms
Gunfleet Sands I,51.7372,1.1700,https://en.wikipedia.org/wiki/Gunfleet_Sands_Offshore_Wind_Farm
Burbo Offshore Windfarm - A (31/01/07),53.4917,-3.2002,https://en.wikipedia.org/wiki/Burbo_Bank_Offshore_Wind_Farm
Robin Rigg Offshore Wind Farm (West),54.7500,-3.7200,https://en.wikipedia.org/wiki/Robin_Rigg_Wind_Farm
Rhyl Flats Wind farm,53.3800,-3.6460,https://en.wikipedia.org/wiki/Rhyl_Flats
Clyde Windfarm (North),55.4672,-3.6544,https://en.wikipedia.org/wiki/Clyde_Wind_Farm
